sample_well,qPCR_well
A1,A1
A1,B1
A1,A2
A6,A12
A6,A11
A6,B11
A7,A13
A7,B13
A7,A14
A10,A19
A10,B19
A10,A20
A11,A21
A11,B21
A11,A22
A3,A6
A3,A5
A3,B5
A4,A7
A4,B7
A4,A8
A5,A9
A5,B9
A5,A10
A8,A15
A8,B15
A8,A16
A9,A18
A9,A17
A9,B17
A12,A24
A12,A23
A12,B23
A2,A3
A2,B3
A2,A4
B1,C1
B1,D1
B1,C2
B6,C12
B6,C11
B6,D11
B10,C19
B10,D19
B10,C20
B12,C24
B12,C23
B12,D23
B4,C7
B4,D7
B4,C8
B5,C9
B5,D9
B5,C10
B7,C13
B7,D13
B7,C14
B8,C15
B8,D15
B8,C16
B9,C18
B9,C17
B9,D17
B11,C21
B11,D21
B11,C22
IRC,B24
IRC,D24
IRC,F24
B2,C3
B2,D3
B2,C4
B3,C6
B3,C5
B3,D5
C1,E1
C1,F1
C1,E2
C5,E9
C5,F9
C5,E10
C6,E12
C6,E11
C6,F11
C7,E13
C7,F13
C7,E14
C11,E21
C11,F21
C11,E22
C2,E3
C2,F3
C2,E4
C3,E6
C3,E5
C3,F5
C4,E7
C4,F7
C4,E8
C8,E15
C8,F15
C8,E16
C9,E18
C9,E17
C9,F17
C10,E19
C10,F19
C10,E20
C12,E24
C12,E23
C12,F23
D1,G1
D1,H1
D1,G2
D7,G13
D7,H13
D7,G14
D8,G15
D8,H15
D8,G16
D9,G18
D9,G17
D9,H17
D11,G21
D11,H21
D11,G22
D12,G24
D12,G23
D12,H23
D2,G3
D2,H3
D2,G4
D3,G6
D3,G5
D3,H5
D4,G7
D4,H7
D4,G8
D6,G12
D6,G11
D6,H11
D10,G19
D10,H19
D10,G20
D5,G9
D5,H9
D5,G10
E1,I1
E1,J1
E1,I2
E6,I12
E6,I11
E6,J11
E9,I18
E9,I17
E9,J17
E10,I19
E10,J19
E10,I20
E11,I21
E11,J21
E11,I22
E12,I24
E12,I23
E12,J23
E4,I7
E4,J7
E4,I8
E5,I9
E5,J9
E5,I10
E7,I13
E7,J13
E7,I14
E8,I15
E8,J15
E8,I16
E2,I3
E2,J3
E2,I4
E3,I6
E3,I5
E3,J5
F1,K1
F1,L1
F1,K2
F5,K9
F5,L9
F5,K10
F8,K15
F8,L15
F8,K16
F10,K19
F10,L19
F10,K20
F6,K12
F6,K11
F6,L11
F7,K13
F7,L13
F7,K14
F9,K18
F9,K17
F9,L17
F11,K21
F11,L21
F11,K22
F12,K24
F12,K23
F12,L23
F2,K3
F2,L3
F2,K4
F3,K6
F3,K5
F3,L5
F4,K7
F4,L7
F4,K8
G1,M1
G1,N1
G1,M2
G5,M9
G5,N9
G5,M10
G6,M12
G6,M11
G6,N11
G10,M19
G10,N19
G10,M20
G2,M3
G2,N3
G2,M4
G3,M6
G3,M5
G3,N5
G7,M13
G7,N13
G7,M14
G8,M15
G8,N15
G8,M16
G9,M18
G9,M17
G9,N17
G11,N21
G11,M21
G11,M22
G12,M24
G12,M23
G12,N23
G4,M7
G4,N7
G4,M8
H5,O9
H5,P9
H5,O10
H6,O12
H6,O11
H6,P11
H10,O19
H10,P19
H10,O20
H3,O6
H3,O5
H3,P5
H1,O1
H1,P1
H1,O2
H7,O13
H7,P13
H7,O14
H8,O15
H8,P15
H8,O16
H9,O18
H9,O17
H9,P17
H11,O21
H11,P21
H11,O22
H12,O24
H12,O23
H12,P23
NTC,L24
NTC,N24
NTC,P24
H2,O3
H2,P3
H2,O4
H4,O7
H4,P7
H4,O8
